Positions	Ratio of complementary nucleotides
0	0.598769430052
1	0.624352331606
2	0.604436528497
3	0.578853626943
4	0.638439119171
5	0.611884715026
6	0.592778497409
7	0.597150259067
8	0.602493523316
9	0.560880829016
10	0.642163212435
11	0.59067357513
12	0.616742227979
13	0.594883419689
14	0.600064766839
15	0.630829015544
16	0.600942017216
17	0.598296540935
18	0.56622758873
19	0.599298382382
20	0.589547614129
21	0.559371671991
22	0.578475336323
23	0.556994818653
24	0.438596491228
25	0.732394366197
26	0.785714285714
27	0
